1,1,1,9/7/16 10:00,9/7/16 11:00,30,1 Descriptive notes about this dogs likes go here.
2,2,1,9/7/16 10:00,9/7/16 11:00,30,2 Descriptive notes about this dogs likes go here.
3,3,1,9/7/16 10:00,9/7/16 11:00,30,3 Descriptive notes about this dogs likes go here.
4,4,1,9/7/16 10:00,9/7/16 11:00,30,4 Descriptive notes about this dogs likes go here.
5,5,1,9/7/16 10:00,9/7/16 11:00,30,5 Descriptive notes about this dogs likes go here.
6,6,1,9/7/16 10:00,9/7/16 11:00,30,6 Descriptive notes about this dogs likes go here.
7,7,1,9/8/16 10:00,9/8/16 11:00,30,7 Descriptive notes about this dogs likes go here.
8,8,1,9/8/16 10:00,9/8/16 11:00,30,8 Descriptive notes about this dogs likes go here.
9,9,1,9/8/16 10:00,9/8/16 11:00,30,9 Descriptive notes about this dogs likes go here.
10,10,1,9/8/16 10:00,9/8/16 11:00,30,10 Descriptive notes about this dogs likes go here.
11,11,1,9/8/16 10:00,9/8/16 11:00,30,11 Descriptive notes about this dogs likes go here.
12,12,1,9/8/16 10:00,9/8/16 11:00,30,12 Descriptive notes about this dogs likes go here.
13,13,1,9/9/16 10:00,9/9/16 11:00,30,13 Descriptive notes about this dogs likes go here.
14,14,1,9/9/16 10:00,9/9/16 11:00,30,14 Descriptive notes about this dogs likes go here.
15,15,1,9/9/16 10:00,9/9/16 11:00,30,15 Descriptive notes about this dogs likes go here.
16,16,1,9/9/16 10:00,9/9/16 11:00,30,16 Descriptive notes about this dogs likes go here.
17,17,1,9/9/16 10:00,9/9/16 11:00,30,17 Descriptive notes about this dogs likes go here.
18,18,1,9/9/16 10:00,9/9/16 11:00,30,18 Descriptive notes about this dogs likes go here.
19,19,1,9/10/16 10:00,9/10/16 11:00,30,19 Descriptive notes about this dogs likes go here.
20,20,1,9/10/16 10:00,9/10/16 11:00,30,20 Descriptive notes about this dogs likes go here.
21,21,1,9/10/16 10:00,9/10/16 11:00,30,21 Descriptive notes about this dogs likes go here.
22,22,1,9/10/16 10:00,9/10/16 11:00,30,22 Descriptive notes about this dogs likes go here.
10,10,1,9/10/16 10:00,9/10/16 11:00,30,23 Descriptive notes about this dogs likes go here.
11,11,1,9/10/16 10:00,9/10/16 11:00,30,24 Descriptive notes about this dogs likes go here.
1,1,2,9/9/16 10:00,9/12/16 10:00,40,25 Boarding - make notes here.
2,2,2,9/9/16 10:00,9/12/16 10:00,40,25 Boarding - make notes here.
3,3,2,9/9/16 10:00,9/12/16 10:00,40,25 Boarding - make notes here.
4,4,2,9/9/16 10:00,9/12/16 10:00,40,25 Boarding - make notes here.
5,5,2,9/9/16 10:00,9/12/16 10:00,40,25 Boarding - make notes here.
6,6,2,9/9/16 10:00,9/12/16 10:00,40,25 Boarding - make notes here.
7,7,2,9/9/16 10:00,9/12/16 10:00,40,25 Boarding - make notes here.
8,8,2,9/9/16 10:00,9/12/16 10:00,40,25 Boarding - make notes here.
9,9,2,9/9/16 10:00,9/12/16 10:00,40,25 Boarding - make notes here.
10,10,2,9/9/16 10:00,9/12/16 10:00,40,25 Boarding - make notes here.
11,11,2,9/9/16 10:00,9/12/16 10:00,40,25 Boarding - make notes here.
12,12,2,9/9/16 10:00,9/12/16 10:00,40,25 Boarding - make notes here.
