1,Rin Tin Tin,Dog,German Shepard,1/1/10,Broadway Pet Hospital,Rin Tin Tin is a German Shepard,/static/images/dogs/1.jpg
1,Lassie,Dog,Collie,2/1/10,Berkeley Animal Hospital,Lassie is a Collie,/static/images/dogs/2.jpg
1,Benji,Dog,Terrier,3/1/10,Berkeley Animal Hospital,Benji is a Terrier,/static/images/dogs/3.jpg
1,Spot,Dog,Beagle,4/1/10,Alameda Pet Hospital,Spot is a Beagle,/static/images/dogs/4.jpg
1,Fido,Dog,Mutt,5/1/10,Berkeley Animal Hospital,Fido is a Mutt,/static/images/dogs/5.jpg
1,Snoopy,Dog,Beagle,6/1/10,Broadway Pet Hospital,Snoopy is a Beagle,/static/images/dogs/6.jpg
1,Beethoven,Dog,St.Bernard,7/1/10,Broadway Pet Hospital,Beethoven is a St.Bernard,/static/images/dogs/7.jpg
1,Eddie,Dog,Jack Russel Terrier,8/1/10,Broadway Pet Hospital,Eddie is a Jack Russel Terrier,/static/images/dogs/8.jpg
1,Old Yeller,Dog,Labrador,9/1/10,Broadway Pet Hospital,Old Yeller is a Labrador,/static/images/dogs/9.jpg
1,Scooby Doo,Dog,Hound,10/1/10,Broadway Pet Hospital,Scooby Doo is a Hound,/static/images/dogs/10.jpg
1,Brian,Dog,Beagle,11/1/10,Broadway Pet Hospital,Brian is a Beagle,/static/images/dogs/11.jpg
1,Toto,Dog,Yorkie,12/1/10,Emeryville Pet Hospital,Toto is a Yorkie,/static/images/dogs/12.jpg
1,Petey,Dog,Pitbull,1/1/11,Broadway Pet Hospital,Petey is a Pitbull,/static/images/dogs/13.jpg
1,Santa's Little Helper,Dog,Greyhound,2/1/11,Broadway Pet Hospital,Santa's Little Helper is a Greyhound,/static/images/dogs/14.jpg
1,Otis,Dog,Labrador,3/1/11,Berkeley Animal Hospital,Otis is a Labrador,/static/images/dogs/15.jpg
1,Shadow,Dog,Labrador,4/1/11,Broadway Pet Hospital,Shadow is a Labrador,/static/images/dogs/16.jpg
1,Chance,Dog,Bulldog,5/1/11,San Leandro Pet Hospital,Chance is a Bulldog,/static/images/dogs/17.jpg
1,Buddy,Dog,Cocker Spaniel,6/1/11,San Leandro Pet Hospital,Buddy is a Cocker Spaniel,/static/images/dogs/18.jpg
1,Lady,Dog,Poodle,7/1/11,San Leandro Pet Hospital,Lady is a Poodle,/static/images/dogs/19.jpg
1,Tramp,Dog,Mutt,8/1/11,Alameda Pet Hospital,Tramp is a Mutt,/static/images/dogs/20.jpg
1,Gidget,Dog,Chihuahua,9/1/11,Berkeley Animal Hospital,Gidget is a Chihuahua,/static/images/dogs/21.jpg
1,Uggle,Dog,Boxer,10/1/11,Berkeley Animal Hospital,Uggle is a Boxer,/static/images/dogs/22.jpg
